lat,lon,amenity,leisure,shop
57.7576725,12.0735952,recycling,,
57.6983644,11.9418688,,fitness_centre,
57.721715,11.952422,,,clothes
57.7551144,11.9728512,post_box,,
57.6470179,11.934514,,,bicycle
57.740609,11.9867652,post_box,,
57.6264451,11.8773838,,marina,
57.6262535,11.8785385,recycling,slipway,
57.6300892,11.8788646,,marina,
57.6463397,11.8527724,,marina,
57.6602682,11.8372681,,marina,
57.63847,11.8690735,,marina,
57.6693584,11.8487907,restaurant,,
57.6400829,11.9525482,,,supermarket
57.7158564,11.9290585,waste_basket,,
57.7201502,11.9267243,waste_basket,,
57.7155091,11.9262519,recycling,,
57.7158133,11.9285633,,,convenience
57.7158297,11.9286096,waste_basket,,
57.7163079,11.9297222,waste_basket,,
57.7157019,11.9319991,bench,,
57.7154371,11.9327838,bench,,
57.7154269,11.9328118,waste_basket,,
57.7152721,11.9323278,bench,,
57.7150158,11.931504,bench,,
57.7150336,11.9314951,waste_basket,,
57.7148997,11.9317682,waste_basket,,
57.6868975,11.9560776,parking_entrance,,
57.6886089,11.957953,parking_entrance,,
57.7052839,12.0216334,social_facility,,
57.7075018,11.9678685,post_box,,
57.7119417,11.8926319,,,supermarket
57.706208,12.0250131,post_box,,
57.7046504,12.0070309,atm,,
57.6648999,11.920504,,,supermarket
57.7160891,11.9351354,waste_basket,,
57.7160969,11.9350811,bench,,
57.7155436,11.9379502,bench,,
57.7152811,11.9399006,bench,,
57.7153091,11.9398695,waste_basket,,
57.7148007,11.9377887,bench,,
57.7144962,11.9375209,bench,,
57.7143789,11.9365908,bench,,
57.7145064,11.9363848,bench,,
57.7145143,11.936357,waste_basket,,
57.7144723,11.9362163,bench,,
57.7134131,11.9362089,bench,,
57.7134071,11.9362297,waste_basket,,
57.713358,11.9369018,waste_basket,,
57.71335,11.9368889,bench,,
57.7133916,11.9372201,bench,,
57.7133767,11.9371992,waste_basket,,
57.7134781,11.9372889,bench,,
57.7134755,11.9380077,bench,,
57.7135072,11.9389594,bench,,
57.7135231,11.9389614,waste_basket,,
57.7144111,11.9395602,bench,,
57.7150364,11.940502,waste_basket,,
57.7148113,11.9408247,waste_basket,,
57.7147672,11.9408293,bench,,
57.7145095,11.9408224,waste_basket,,
57.7144747,11.9408293,bench,,
57.7139733,11.9409802,bench,,
57.7137941,11.9408711,bench,,
57.7140432,11.9398699,bench,,
57.7137827,11.9397709,waste_basket,,
57.7137638,11.9397717,bench,,
57.7134087,11.9398249,waste_basket,,
57.7133823,11.9398306,bench,,
